stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1,u010596301,VITORIA-GASTEIZ (Estación Bus Geltokia),VITORIA-GASTEIZ (Estación Bus Geltokia),VITORIA-GASTEIZ,42.859,-2.6844,1,,0,,,0,0,0
2,i010181701,ZAITEGI,ZAITEGI,ZIGOITIA,42.9419,-2.7603,2,,0,,,0,0,0
3,v010181701,ZAITEGI,ZAITEGI,ZIGOITIA,42.9423,-2.7583,2,,0,,,0,0,0
4,i010631101,MURGIA,MURGIA,ZUIA,42.9561,-2.8193,2,,0,,,0,0,0
5,v010631101,MURGIA,MURGIA,ZUIA,42.9562,-2.8195,2,,0,,,0,0,0
6,i010631102,PAULES,PAULES,ZUIA,42.9574,-2.8303,2,,0,,,0,0,0
7,v010631102,PAULES,PAULES,ZUIA,42.9576,-2.8303,2,,0,,,0,0,0
8,u010631201,SARRIA,SARRIA,ZUIA,42.9662,-2.824,2,,0,,,0,0,0
9,i010630201,AMETZAGA ZUIA,AMETZAGA ZUIA,ZUIA,42.9595,-2.8406,2,,0,,,0,0,0
10,v010630201,AMETZAGA ZUIA,AMETZAGA ZUIA,ZUIA,42.9599,-2.8414,2,,0,,,0,0,0
11,i010540401,BELUNTZA (Soleta),BELUNTZA (Soleta),URKABUSTAIZ,42.9581,-2.8892,3,,0,,,0,0,0
12,v010540401,BELUNTZA (Soleta),BELUNTZA (Soleta),URKABUSTAIZ,42.9582,-2.8893,3,,0,,,0,0,0
13,u010540701,IZARRA,IZARRA,URKABUSTAIZ,42.9516,-2.9001,3,,0,,,0,0,0
15,i010020901,LEZAMA,LEZAMA,AMURRIO,43.0261,-2.956,4,,0,,,0,0,0
16,v010020901,LEZAMA,LEZAMA,AMURRIO,43.026,-2.9562,4,,0,,,0,0,0
17,i010020701,Larrinbe (Eliza-Iglesia),Larrinbe (Eliza-Iglesia),AMURRIO,43.0453,-2.9873,4,,0,,,0,0,0
18,v010020701,Larrinbe (Eliza-Iglesia),Larrinbe (Eliza-Iglesia),AMURRIO,43.0454,-2.9872,4,,0,,,0,0,0
19,u010020201,AMURRIO (Araba),AMURRIO (Araba),AMURRIO,43.0545,-2.9996,4,,0,,,0,0,0
20,i010020202,AMURRIO (San José),AMURRIO (San José),AMURRIO,43.0595,-2.9976,4,,0,,,0,0,0
